,User Status (Active or Inactive),User Status (Redeemers or Non-Redeemers),Credit Card User Indicator,Count of Months of Earn for a User,Count of Earn Activities for a User,Credit Card Points Earned by a User,Total Miles Earned by a User,User Account Age in Months
0,1,0,1,2.772588722239781,5.752572638825633,11.623906335306971,12.139051044098796,5.749392985908253
1,1,1,0,4.672828834461906,7.675081857716334,12.5155993486669,14.097378762591449,5.730099782973574
2,1,1,1,4.634728988229636,7.764296006450518,12.24153059785935,13.91052796764288,5.723585101952381
3,1,1,0,4.736198448394496,7.670894831362117,12.187179679488928,14.04326506247611,5.730099782973574
4,1,1,1,4.941642422609304,7.977625098784593,12.07804735280551,14.48866827377501,5.717027701406222
5,1,0,1,2.4849066497880004,5.529429087511423,10.794553314630456,12.417062640671814,5.703782474656201
6,1,0,0,2.5649493574615367,5.598421958998375,11.284541859433787,12.572852363840603,5.707110264748875
7,1,1,1,5.003946305945459,7.999007213243955,12.823449029761182,14.645129927764447,5.730099782973574
8,1,1,1,4.653960350157523,7.876258882303226,11.967386222468718,14.23881230980117,5.730099782973574
9,1,0,1,2.3978952727983707,5.945420608606575,9.762343470925936,12.014149137191932,5.703782474656201
10,1,1,1,4.6443908991413725,7.613818684808629,12.444315042289883,14.029452705909105,5.730099782973574
11,1,1,1,4.330733340286331,7.1929342212158,11.256041822493396,14.012624663524706,5.717027701406222
12,1,1,0,3.970291913552122,6.8690144506657065,10.605180628103332,13.441795538794723,5.730099782973574
13,1,0,0,2.079441541679836,5.8944028342648505,11.553838553866214,12.009650135957097,2.19722457733622
14,1,0,1,2.079441541679836,5.777652323222656,10.175051740431073,11.614678481420432,5.631211781821365
15,1,0,1,2.19722457733622,5.730099782973574,11.75029538632864,11.599717651272668,4.787491742782046
16,1,0,1,2.833213344056216,6.173786103901937,11.62046935573793,11.973030262036715,5.683579767338681
17,1,1,0,4.812184355372417,7.716906135298388,12.573355460092571,14.271578155242333,5.730099782973574
18,1,0,0,1.9459101490553128,4.343805421853684,11.1225850368164,9.21572584425252,5.676753802268282
19,1,1,1,4.727387818712341,7.690743163541872,12.460092769793397,13.93222546782179,5.730099782973574
20,1,0,0,1.6094379124341005,4.718498871295094,7.632521498464504,9.57976370873708,5.707110264748875
21,1,0,1,2.302585092994046,5.631211781821365,8.563741197912014,12.4106570361231,5.616771097666572
22,1,0,1,2.5649493574615367,5.58724865840025,9.204364904181167,11.58743906912988,5.697093486505405
23,1,1,0,4.634728988229636,7.422373700986824,12.166731153948538,14.48613243811515,5.730099782973574
24,1,1,1,4.553876891600541,7.145196134997171,12.398528248339897,13.953380276429815,5.720311776607412
25,1,1,0,4.584967478670572,7.471363088187097,12.479465390276856,13.842564283371695,5.723585101952381
26,1,1,1,4.31748811353631,7.534762657037537,12.27205949971457,13.92560007425164,5.71042701737487
27,1,1,1,4.927253685157205,8.262042843966942,12.645260983102816,14.11418820688885,5.730099782973574
28,1,0,0,2.079441541679836,5.231108616854587,10.4921401090537,11.52614766513935,5.641907070938114
29,1,1,1,4.110873864173311,7.0967213784947605,12.545970958071807,13.379087148772744,5.720311776607412
30,1,1,0,4.672828834461906,7.794411205726601,12.184867057932358,13.645655372059265,5.713732805509369
31,1,0,1,2.4849066497880004,4.990432586778736,11.65373379050796,11.638579663807144,5.66988092298052
32,1,0,1,2.302585092994046,6.434546518787453,12.1392222044827,11.803421075708558,5.71042701737487
33,1,1,1,4.553876891600541,7.528331766707247,12.291273655706132,13.83748924729172,5.730099782973574
34,1,0,0,2.19722457733622,5.6937321388027,9.55465908660217,11.470685799362352,5.641907070938114
35,1,1,1,4.653960350157523,7.706162970199576,11.817898234236871,13.923488345575803,5.723585101952381
36,1,1,0,4.477336814478207,7.385230923066573,12.53707392644711,13.84652848933372,5.730099782973574
37,1,1,0,4.248495242049359,7.247792581767846,11.360980910863594,13.59164549642415,5.730099782973574
38,1,1,1,4.61512051684126,7.664346632098617,12.692412152837086,14.127022431867534,5.723585101952381
39,1,1,1,4.663439094112067,7.4821189235521155,11.99571297498106,14.10826524293532,5.730099782973574
40,1,1,0,4.948759890378168,8.007700012884026,12.465177445923713,14.612089395128898,5.730099782973574
41,1,1,0,4.3694478524670215,7.234898420314831,12.44378552712458,13.774216577075975,5.730099782973574
42,1,1,1,4.564348191467836,7.662467815200237,11.814740701550305,13.793063497234064,5.717027701406222
43,1,0,0,2.772588722239781,4.983606621708336,11.780485003924676,11.35104162787622,5.676753802268282
44,1,0,0,2.4849066497880004,5.278114659230517,10.281882680638637,12.080509422554828,5.713732805509369
45,1,1,1,4.465908118654584,7.832807516524864,12.15123310635003,13.873669082637733,5.730099782973574
46,1,0,0,2.079441541679836,4.90527477843843,11.178608511581931,11.545915267795886,5.700443573390687
47,1,1,0,3.688879454113936,6.885509670034818,10.243880948897246,12.894599167269394,5.730099782973574
48,1,0,0,2.302585092994046,5.402677381872279,11.808817829296972,11.54959484932724,5.697093486505405
49,1,1,1,4.356708826689592,7.666690200080086,11.500622795017009,13.47638079324129,5.713732805509369
50,1,1,1,4.23410650459726,7.243512974665482,12.01592585176054,13.824698221823269,5.717027701406222
51,1,1,0,4.454347296253507,6.877296071497429,12.037167635898818,13.55528670118904,5.720311776607412
52,1,1,1,4.394449154672439,7.375255778009754,11.635781151330852,14.05366724603847,5.717027701406222
53,1,0,1,2.302585092994046,5.068904202220232,11.821445577804056,12.061930875698378,5.700443573390687
54,1,1,1,4.948759890378168,7.71289096149013,12.310051908894811,14.284296571216435,5.730099782973574
55,1,1,0,4.382026634673881,7.520234556474628,11.75098737122542,14.640728439858457,5.730099782973574
56,1,1,1,4.442651256490317,7.385230923066573,11.916183282472618,13.86553139311885,5.730099782973574
57,1,1,1,4.276666119016055,7.252053951852814,11.9448223834785,13.510870847394,5.730099782973574
58,1,1,0,4.3694478524670215,7.113142108707088,11.47490064034626,13.97231086727811,5.730099782973574
59,1,1,1,4.51085950651685,7.635786861395585,11.84998226534867,13.561726081624796,5.723585101952381
60,1,0,1,2.5649493574615367,5.209486152841421,11.3575156707333,11.615608399103966,5.71042701737487
61,1,1,1,3.951243718581428,7.111512116496157,11.593014551270224,12.956396156436233,5.717027701406222
62,1,1,1,4.23410650459726,7.616283561580385,11.620624595297867,13.694731789578068,5.730099782973574
63,1,0,0,3.044522437723423,6.583409222158765,12.149795686778551,11.495270529731508,5.662960480135946
64,1,1,0,4.605170185988092,7.617759576608505,12.271025358853866,13.935025426465415,5.717027701406222
65,1,1,0,4.30406509320417,7.1180162044653335,12.143651051370632,13.610454929386169,5.730099782973574
66,1,0,0,1.9459101490553128,5.834810737062605,10.648006668639368,11.493396000361724,5.616771097666572
67,1,0,1,1.791759469228055,4.564348191467836,8.240714029860001,11.62180677534995,5.613128106388071
68,1,1,1,4.59511985013459,7.881559917056899,12.518675367107226,13.95089161390642,5.717027701406222
69,1,1,0,4.634728988229636,7.742835955430749,12.00000822044903,13.881509886602828,5.730099782973574
70,1,1,0,4.5217885770490405,7.658227526161352,11.892449029581524,14.20842861332,5.717027701406222
71,1,0,0,1.6094379124341005,4.6443908991413725,9.27749341731676,10.141480306700544,5.225746673713202
72,1,1,1,4.736198448394496,7.941295570906532,12.437843582170284,14.064800493898325,5.730099782973574
73,1,1,1,4.219507705176107,7.244941546337007,11.494645152539984,13.6368299648104,5.730099782973574
74,1,1,1,4.127134385045092,7.463936604468925,12.330871208962666,13.388689016027548,5.713732805509369
75,1,0,1,2.19722457733622,5.683579767338681,10.84780550216799,11.85989950694582,4.8283137373023015
76,1,0,0,2.079441541679836,4.955827057601261,8.564885422799136,11.489953621007944,5.707110264748875
77,1,0,0,2.5649493574615367,5.056245805348308,12.49507373915102,11.074094868375386,5.613128106388071
78,1,1,0,4.499809670330265,7.383989457978509,11.4481546135753,14.055537971316657,5.730099782973574
79,1,1,0,4.060443010546419,7.1372784372603855,11.254493766914203,13.387473100418363,5.730099782973574
80,1,0,1,1.791759469228055,4.290459441148391,11.145247955721956,12.237905559048556,5.645446897643238
81,1,0,1,2.4849066497880004,6.126869184114185,12.423244470270705,11.559923548130811,5.66988092298052
82,1,0,1,2.302585092994046,5.676753802268282,11.122445555561995,12.564547468714016,5.627621113690637
83,1,1,1,4.454347296253507,7.426549072397305,12.289530673916373,14.333941190206309,5.730099782973574
84,1,1,1,4.6443908991413725,7.6586995582682995,12.353404352292404,14.433089007674129,5.723585101952381
85,1,1,1,4.442651256490317,7.550135342488429,12.221616796420236,13.671643651741803,5.723585101952381
86,1,1,1,4.454347296253507,7.050122520269059,11.83245668995125,13.674089840582235,5.723585101952381
87,1,1,0,4.564348191467836,7.564238475170491,11.737407730871263,13.744956110709431,5.713732805509369
88,1,0,0,2.772588722239781,5.983936280687191,11.799294775317623,12.14974565067154,5.676753802268282
89,1,0,0,1.791759469228055,5.69035945432406,6.747608829479626,9.335826992017598,5.700443573390687
90,1,0,0,2.4849066497880004,6.156978985585555,11.62646585670627,12.117689418894058,5.1647859739235145
91,1,1,1,4.74493212836325,7.599401333415815,12.141798814534615,14.628090967418036,5.730099782973574
92,1,0,1,2.6390573296152584,5.5053315359323625,10.60923312075678,11.79656186471326,5.68697535633982
93,1,1,1,4.709530201312334,7.367077059881012,11.90439428569345,14.022335278509994,5.717027701406222
94,1,0,1,2.995732273553991,6.104793232414985,11.63151001097302,12.127332422588342,5.707110264748875
95,1,0,0,2.079441541679836,5.802118375377063,11.909665268237852,10.487823827237891,5.697093486505405
96,1,0,1,2.19722457733622,6.194405391104672,7.238009618126634,12.245596197438555,5.697093486505405
97,1,1,1,4.454347296253507,7.653494909661253,12.34666795118559,13.657552974398838,5.730099782973574
98,1,1,1,4.174387269895637,7.353081920515432,11.78121978420407,13.64893517688608,5.730099782973574
99,1,0,0,3.367295829986474,6.902742737158593,11.097746171911604,12.914135531812905,5.717027701406222
100,1,1,1,4.276666119016055,7.213031659834869,11.959702412457222,13.74003565198205,5.730099782973574
101,1,1,1,3.784189633918261,7.050989447068045,11.371646240889332,13.249418846426511,5.717027701406222
